entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-05,2021-04-09,LONG,24.2746,25.6142,23.6663,411,9976.86,550.56,550.56,2.202,time_exit,300.55999999999995,10300.56
2021-04-12,2021-04-16,LONG,25.5139,26.6982,24.8745,391,9975.93,463.08,463.08,1.852,time_exit,763.6399999999999,10763.64
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,-250.0,-1.0,stop_loss,513.6399999999999,10513.64
2021-05-24,2021-05-28,LONG,24.1839,24.4967,23.5785,413,9987.94,129.19,129.19,0.517,time_exit,642.8299999999999,10642.83
2021-06-07,2021-06-11,LONG,25.0483,26.0798,24.4217,399,9994.26,411.58,411.58,1.646,time_exit,1054.4099999999999,11054.41
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.49,-250.0,-250.0,-1.0,stop_loss,804.4099999999999,10804.41
2021-06-21,2021-06-25,LONG,26.8415,28.0593,26.1695,372,9985.04,453.02,453.02,1.812,time_exit,1257.4299999999998,11257.43
2021-06-28,2021-07-02,LONG,29.0526,30.2585,28.3259,344,9994.11,414.81,414.81,1.659,time_exit,1672.2399999999998,11672.24
2021-07-19,2021-07-23,LONG,29.2556,32.6081,28.5225,341,9976.16,1143.2,1143.2,4.573,time_exit,2815.4399999999996,12815.439999999999
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.98,-250.0,-250.0,-1.0,stop_loss,2565.4399999999996,12565.439999999999
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2315.4399999999996,12315.439999999999
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2065.4399999999996,12065.439999999999
2021-08-23,2021-08-27,LONG,33.8713,34.6473,33.0238,295,9992.02,228.93,228.93,0.916,time_exit,2294.3699999999994,12294.369999999999
2021-08-30,2021-09-03,LONG,35.7958,36.1636,34.8998,279,9987.04,102.6,102.6,0.41,time_exit,2396.9699999999993,12396.97
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,2146.9699999999993,12146.97
2021-10-18,2021-10-22,LONG,33.377,33.7352,32.5409,299,9979.72,107.09,107.09,0.428,time_exit,2254.0599999999995,12254.06
2021-10-25,2021-10-29,LONG,34.7476,37.0495,33.8765,287,9972.56,660.64,660.64,2.643,time_exit,2914.6999999999994,12914.699999999999
2021-11-01,2021-11-05,LONG,37.4148,40.7267,36.4785,267,9989.75,884.28,884.28,3.537,time_exit,3798.9799999999996,13798.98
2021-11-29,2021-11-30,LONG,40.7912,39.7708,39.7708,245,9993.84,-250.0,-250.0,-1.0,stop_loss,3548.9799999999996,13548.98
2021-12-06,2021-12-10,LONG,36.6746,39.9889,35.7554,272,9975.48,901.49,901.49,3.606,time_exit,4450.469999999999,14450.47
2021-12-20,2021-12-27,LONG,34.9315,41.4025,34.0573,286,9990.4,1850.71,1850.71,7.403,time_exit,6301.179999999999,16301.18
2021-12-27,2021-12-29,LONG,41.4025,40.3651,40.3651,241,9977.99,-250.0,-250.0,-1.0,stop_loss,6051.179999999999,16051.18
2022-01-03,2022-01-04,LONG,40.8628,39.8382,39.8382,244,9970.52,-250.0,-250.0,-1.0,stop_loss,5801.179999999999,15801.18
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,5551.179999999999,15551.18
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,5301.179999999999,15301.18
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,5051.179999999999,15051.18
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,4801.179999999999,14801.18
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,4551.179999999999,14551.18
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,4301.179999999999,14301.18
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,4051.1799999999994,14051.18
2022-04-18,2022-04-21,LONG,22.5076,21.9446,21.9446,444,9993.38,-250.0,-250.0,-1.0,stop_loss,3801.1799999999994,13801.18
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,3551.1799999999994,13551.18
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,3301.1799999999994,13301.18
2022-05-23,2022-05-24,LONG,13.7013,13.3584,13.3584,729,9988.27,-250.0,-250.0,-1.0,stop_loss,3051.1799999999994,13051.18
2022-08-01,2022-08-02,LONG,15.9077,15.5096,15.5096,628,9990.02,-250.0,-250.0,-1.0,stop_loss,2801.1799999999994,12801.18
2022-08-15,2022-08-16,LONG,18.5725,18.1078,18.1078,538,9992.0,-250.0,-250.0,-1.0,stop_loss,2551.1799999999994,12551.18
2022-09-12,2022-09-13,LONG,14.7711,14.4012,14.4012,676,9985.24,-250.0,-250.0,-1.0,stop_loss,2301.1799999999994,12301.18
2022-09-19,2022-09-20,LONG,12.0299,11.729,11.729,831,9996.81,-250.0,-250.0,-1.0,stop_loss,2051.1799999999994,12051.18
2022-10-03,2022-10-07,LONG,9.8665,9.6197,9.6197,1013,9994.75,-250.0,-250.0,-1.0,stop_loss,1801.1799999999994,11801.18
2022-10-17,2022-10-21,LONG,9.217,8.9864,8.9864,1084,9991.22,-250.0,-250.0,-1.0,stop_loss,1551.1799999999994,11551.18
2022-10-24,2022-10-27,LONG,10.1578,9.9037,9.9037,984,9995.27,-250.0,-250.0,-1.0,stop_loss,1301.1799999999994,11301.18
2022-11-07,2022-11-09,LONG,8.8445,8.6233,8.6233,1130,9994.28,-250.0,-250.0,-1.0,stop_loss,1051.1799999999994,11051.18
2022-12-12,2022-12-14,LONG,10.3393,10.0807,10.0807,967,9998.07,-250.0,-250.0,-1.0,stop_loss,801.1799999999994,10801.18
2023-01-23,2023-01-25,LONG,10.4313,10.1704,10.1704,958,9993.22,-250.0,-250.0,-1.0,stop_loss,551.1799999999994,10551.18
2023-02-06,2023-02-09,LONG,11.9387,11.64,11.64,837,9992.67,-250.0,-250.0,-1.0,stop_loss,301.1799999999994,10301.18
2023-02-13,2023-02-14,LONG,11.9771,11.6773,11.6773,834,9988.88,-250.0,-250.0,-1.0,stop_loss,51.17999999999938,10051.18
2023-03-13,2023-03-17,LONG,10.2393,11.7947,9.9832,976,9993.58,1518.01,1518.01,6.072,time_exit,1569.1899999999994,11569.189999999999
2023-03-20,2023-03-24,LONG,11.9195,12.467,11.6211,838,9988.51,458.81,458.81,1.835,time_exit,2027.9999999999993,12028.0
2023-04-03,2023-04-05,LONG,13.5485,13.2098,13.2098,738,9998.82,-250.0,-250.0,-1.0,stop_loss,1777.9999999999993,11778.0
2023-04-10,2023-04-12,LONG,13.2154,12.8847,12.8847,756,9990.82,-250.0,-250.0,-1.0,stop_loss,1527.9999999999993,11528.0
2023-04-17,2023-04-20,LONG,13.2781,12.9461,12.9461,753,9998.44,-250.0,-250.0,-1.0,stop_loss,1277.9999999999993,11278.0
2023-05-01,2023-05-02,LONG,13.6016,13.2615,13.2615,735,9997.21,-250.0,-250.0,-1.0,stop_loss,1027.9999999999993,11028.0
2023-05-08,2023-05-12,LONG,13.732,13.872,13.3886,728,9996.91,101.94,101.94,0.408,time_exit,1129.9399999999994,11129.939999999999
2023-05-15,2023-05-19,LONG,14.0845,15.3254,13.7324,710,9999.99,881.04,881.04,3.524,time_exit,2010.9799999999993,12010.98
2023-05-22,2023-05-23,LONG,15.4847,15.0971,15.0971,645,9987.65,-250.0,-250.0,-1.0,stop_loss,1760.9799999999993,11760.98
2023-06-05,2023-06-07,LONG,17.8169,17.3712,17.3712,561,9995.26,-250.0,-250.0,-1.0,stop_loss,1510.9799999999993,11510.98
2023-06-12,2023-06-16,LONG,18.5846,19.6999,18.1199,538,9998.5,600.06,600.06,2.4,time_exit,2111.039999999999,12111.039999999999
